CustomerID,Name,Age,Gender,Income,City,Purchases,Churn
1001,Customer_1001,58.0,Female,,Surat,18,0
1002,Customer_1002,24.0,F,,Ahmedabad,28,0
1003,Customer_1003,32.0,F,,Surat,13,1
1004,Customer_1004,35.0,Female,,Vadodara,28,1
1005,Customer_1005,39.0,M,,Vadodara,7,1
1006,Customer_1006,20.0,F,115647.0,Ahmedabad,8,1
1007,Customer_1007,58.0,F,101070.0,Ahmedabad,13,0
1008,Customer_1008,36.0,Male,,Vadodara,7,1
1009,Customer_1009,41.0,male,41319.0,Ahmedabad,14,1
1010,Customer_1010,28.0,Female,,Vadodara,30,1
1011,Customer_1011,58.0,Female,,Surat,21,0
1012,Customer_1012,38.0,Male,72581.0,Surat,14,1
1013,Customer_1013,43.0,Female,104259.0,Surat,17,0
1014,Customer_1014,52.0,F,54438.0,Surat,26,1
1015,Customer_1015,26.0,Male,86784.0,Surat,4,0
1016,Customer_1016,45.0,M,,Bhavnagar,25,1
1017,Customer_1017,53.0,Female,,Vadodara,35,1
1018,Customer_1018,45.0,Male,40730.0,Bhavnagar,17,0
1019,Customer_1019,58.0,Female,,Bhavnagar,24,0
1020,Customer_1020,51.0,M,20074.0,Vadodara,2,0
1021,Customer_1021,37.0,Female,,Ahmedabad,37,0
1022,Customer_1022,22.0,Female,,Vadodara,31,0
1023,Customer_1023,56.0,F,,Rajkot,13,1
1024,Customer_1024,59.0,F,68944.0,Surat,29,0
1025,Customer_1025,39.0,F,,Ahmedabad,15,0
1026,Customer_1026,21.0,Male,,Bhavnagar,22,0
1027,Customer_1027,60.0,F,,Surat,9,1
1028,Customer_1028,44.0,Male,,Rajkot,28,1
1029,Customer_1029,21.0,Male,,Ahmedabad,26,1
1030,Customer_1030,30.0,Female,90292.0,Vadodara,28,0
1031,Customer_1031,22.0,Male,,Ahmedabad,35,0
1032,Customer_1032,33.0,M,41798.0,Rajkot,31,0
1033,Customer_1033,28.0,M,,Vadodara,17,1
1034,Customer_1034,53.0,Female,106752.0,Surat,13,1
1035,Customer_1035,55.0,Female,,Ahmedabad,21,0
1036,Customer_1036,50.0,Male,,Surat,33,0
1037,Customer_1037,22.0,M,,Bhavnagar,8,0
1038,Customer_1038,57.0,Female,30745.0,Vadodara,38,1
1039,Customer_1039,38.0,M,51285.0,Rajkot,9,1
1040,Customer_1040,22.0,F,21220.0,Ahmedabad,37,0
1041,Customer_1041,50.0,male,,Vadodara,5,0
1042,Customer_1042,46.0,F,91200.0,Bhavnagar,34,0
1043,Customer_1043,60.0,male,,Bhavnagar,8,0
1044,Customer_1044,36.0,Female,,Vadodara,22,0
1045,Customer_1045,,Female,,Ahmedabad,28,1
1046,Customer_1046,,Female,103507.0,Bhavnagar,29,1
1047,Customer_1047,22.0,F,,Bhavnagar,3,1
1048,Customer_1048,45.0,male,,Vadodara,24,0
1049,Customer_1049,33.0,male,,Bhavnagar,36,1
1050,Customer_1050,33.0,M,,Vadodara,2,0
1051,Customer_1051,44.0,male,,Rajkot,11,0
1052,Customer_1052,48.0,Male,,Vadodara,30,1
1053,Customer_1053,32.0,Female,,Vadodara,13,1
1054,Customer_1054,22.0,Female,56585.0,Bhavnagar,33,1
1055,Customer_1055,19.0,Female,35118.0,Ahmedabad,38,1
1056,Customer_1056,45.0,M,65309.0,Rajkot,39,0
1057,Customer_1057,30.0,Female,,Bhavnagar,28,0
1058,Customer_1058,52.0,male,,Vadodara,28,0
1059,Customer_1059,60.0,F,36334.0,Vadodara,20,1
1060,Customer_1060,36.0,Female,,Surat,27,1
1061,Customer_1061,37.0,male,,Rajkot,19,0
1062,Customer_1062,56.0,M,105813.0,Surat,29,1
1063,Customer_1063,28.0,male,,Ahmedabad,33,1
1064,Customer_1064,,Female,108184.0,Ahmedabad,13,0
1065,Customer_1065,48.0,M,,Rajkot,27,0
1066,Customer_1066,33.0,Male,,Surat,7,1
1067,Customer_1067,51.0,F,,Rajkot,16,0
1068,Customer_1068,47.0,Male,107500.0,Bhavnagar,29,1
1069,Customer_1069,28.0,M,117472.0,Vadodara,17,0
1070,Customer_1070,51.0,male,,Vadodara,29,0
1071,Customer_1071,39.0,Female,,Rajkot,10,0
1072,Customer_1072,31.0,M,28418.0,Rajkot,22,1
1073,Customer_1073,,Male,,Rajkot,37,1
1074,Customer_1074,40.0,Male,59139.0,Rajkot,27,0
1075,Customer_1075,45.0,M,,Surat,22,1
1076,Customer_1076,26.0,M,,Ahmedabad,38,0
1077,Customer_1077,26.0,Male,,Vadodara,17,1
1078,Customer_1078,38.0,male,64236.0,Ahmedabad,27,1
1079,Customer_1079,52.0,Female,26826.0,Ahmedabad,5,0
1080,Customer_1080,30.0,Female,,Ahmedabad,9,1
1081,Customer_1081,31.0,Male,80952.0,Bhavnagar,24,0
1082,Customer_1082,25.0,Male,41465.0,Vadodara,38,0
1083,Customer_1083,42.0,Male,,Ahmedabad,38,0
1084,Customer_1084,37.0,Male,,Vadodara,37,0
1085,Customer_1085,60.0,F,,Rajkot,22,0
1086,Customer_1086,24.0,Female,76822.0,Rajkot,30,0
1087,Customer_1087,51.0,F,105256.0,Rajkot,35,1
1088,Customer_1088,55.0,Male,55179.0,Vadodara,16,0
1089,Customer_1089,,F,118366.0,Vadodara,40,1
1090,Customer_1090,38.0,Female,43834.0,Vadodara,23,1
1091,Customer_1091,56.0,F,111905.0,Ahmedabad,1,0
1092,Customer_1092,44.0,Female,,Rajkot,31,1
1093,Customer_1093,23.0,M,,Bhavnagar,16,1
1094,Customer_1094,53.0,M,89588.0,Vadodara,36,1
1095,Customer_1095,35.0,Female,60189.0,Vadodara,8,0
1096,Customer_1096,52.0,Female,,Vadodara,14,1
1097,Customer_1097,51.0,Male,98222.0,Surat,13,1
1098,Customer_1098,37.0,male,,Bhavnagar,3,0
1099,Customer_1099,26.0,Male,103606.0,Rajkot,1,1
1100,Customer_1100,39.0,male,,Ahmedabad,31,0
1006,Customer_1006,20.0,F,115647.0,Ahmedabad,8,1
